Digi-Key Part Number,Manufacturer Part Number,Customer Reference,Description,Quantity 1
ATMEGA32U4-AU-ND,ATMEGA32U4-AU,U1 - MAIN MCU,IC MCU 8BIT 32KB FLASH 44TQFP,1
1446-1017-1-ND,BLE112-A-V1,U1 - BLE MODULE,RF TXRX MOD BLUETOOTH CHIP ANT,1
MCP2551-I/SN-ND,MCP2551-I/SN,CT1 CT2 CT3 - CAN TRANSCEIVER,IC TRANSCEIVER CAN HI-SPD 8-SOIC,3
MCP2515-I/SO-ND,MCP2515-I/SO,CC1 CC2 CC3 - CAN CONTROLLER,IC CAN CONTROLLER W/SPI 18SOIC,3
296-35484-1-ND,TPS70950DBVR,IC1 - LDO VREG,IC REG LDO 5V 0.15A SOT23-5,1
MCP1700T3302ETTCT-ND,MCP1700T-3302E/TT,IC4 - 3.3V REG,IC REG LDO 3.3V 0.25A SOT23-3,1
23LC1024-I/SN-ND,23LC1024-I/SN,IC6 - SRAM 1MBIT,IC SRAM 1MBIT 20MHZ 8SOIC,1
SER4069CT-ND,TSX-3225 16.0000MF09Z-AC0,Q0 Q2 - CLOCK CRYSTAL,CRYSTAL 16.00 MHZ 9PF SMD,2
BSS138CT-ND,BSS138,Q1,MOSFET N-CH 50V 220MA SOT-23,1
568-4138-1-ND,PMEG6010CEJ_115,D1,DIODE SCHOTTKY 60V 1A SOD323F,1
P10KACT-ND,ERJ-6GEYJ103V,R1 R2 R4 R5 R10 R13,RES SMD 10K OHM 5% 1/8W 0805,6
P120KGCT-ND,ERJ-3GEYJ124V,R14 R15 R16,RES SMD 120K OHM 5% 1/10W 0603,3
P22.0CCT-ND,ERJ-6ENF22R0V,R7 R8,RES SMD 22 OHM 1% 1/8W 0805,2
P4.7KACT-ND,ERJ-6GEYJ472V,R9 R11 - BLE VOLTAGE DIVIDER,RES SMD 4.7K OHM 5% 1/8W 0805,2
P180ACT-ND,ERJ-6GEYJ181V,R3 R6 - GREEN AND RED LED RESISTOR,RES SMD 180 OHM 5% 1/8W 0805,2
P100ACT-ND,ERJ-6GEYJ101V,R12 - BLE LED,RES SMD 100 OHM 5% 1/8W 0805,1
445-5047-1-ND,C1608C0G1H090D080AA,C7 C10 C12 C13 - CRYSTAL CAPS,CAP CER 9PF 50V C0G 0603,4
490-3897-1-ND,GRM188R61E105KA12D,C1 C3 C4 C8,CAP CER 1UF 25V X5R 0603,4
399-5089-1-ND,C0603C104K5RACTU,C5 C9,CAP CER 0.1UF 50V X7R 0603,2
490-10731-1-ND,GRM188R61E225KA12D,C2,CAP CER 2.2UF 25V X5R 0603,1
160-1404-1-ND,LTST-C150KGKT,PWR - GREEN LED,LED GREEN CLEAR 1206 SMD,1
160-1405-1-ND,LTST-C150KRKT,BOOT - RED LED,LED RED CLEAR 1206 SMD,1
160-1643-1-ND,LTST-C150TBKT,BT - BLUE LED,LED BLUE CLEAR 1206 SMD,1
P12948SCT-ND,EVQ-Q2P02W,S1 - RESET SW,SWITCH TACTILE SPST-NO 0.02A 15V,1
A111050-ND,1734035-1,CN1 - USB MINI B,CONN MINI B USB R/A SMD,1
609-3716-ND,20021111-00018T4LF,HEADER 1.27MM,CONN HEADER 18POS UNSHD VERT T/H,1
609-3355-ND,68021-412HLF,"JP1 - HEADER 0.1"" RIGHT-ANGLE",CONN HEADER 12POS .100 R/A TIN,1
